.,Sources,Query,Search engine,Type,Category,Smells induced,nb_smells_induced
S90,https://medium.com/hackernoon/mongodb-schema-design-86327d8fae83,MongoDB best practices,MongoDB Forum,Blog post/Online article,Blog post/Online article,"Data oriented instead of application oriented, Bias toward access patterns",2
S96,https://www.mongodb.com/blog/post/performance-best-practices-indexing,MongoDB best practices,MongoDB website,Blog post/Online article,Blog post/Online article,"Abusive use of indexes, Leading wildcard searches on indexed columns, Case-insensitive queries without matching indexes",3
S98,https://www.mongodb.com/blog/post/performance-best-practices-sharding,MongoDB best practices,MongoDB website,Blog post/Online article,Blog post/Online article,"Low-cardinality shard key, Scatter-gather queries",2
S111,https://www.slideshare.net/mongodb/mongodb-world-2019-the-sights-and-smells-of-a-bad-query,MongoDB code smells,Google Belgium,Presentation slides,Presentation,"Non-ESR compound indexes (Equality, Sort, Range), Uncovered queries",2
S114,https://bigdataanalyticsnews.com/mongodb-mistakes-to-avoid-the-best-practices-to-follow/,MongoDB mistakes,Google Belgium,Blog post/Online article,Blog post/Online article,"Replicas as backup, Data oriented instead of application oriented, No database user policy, Too much network exposure, Premature sharding",5
S115,https://dev.to/shrihari/mistakes-i-made-when-i-started-nodejs-mongodb-5g92,MongoDB mistakes,Google Belgium,Blog post/Online article,Blog post/Online article,Uncovered queries,1
S116,https://hub.packtpub.com/5-mistakes-web-developers-make-when-working-mongodb/,MongoDB mistakes,Google Belgium,Blog post/Online article,Blog post/Online article,"Replicas as backup, Data oriented instead of application oriented, No database user policy, Too much network exposure, Premature sharding",5
S117,https://www.1cloudhub.com/mongodb_optimization_scalability/,MongoDB mistakes,Google Belgium,Blog post/Online article,Blog post/Online article,"Data oriented instead of application oriented, Abusive use of indexes, Separating data accessed together",3
S119,https://www.quora.com/What-is-the-common-mistake-done-with-a-beginner-in-MongoDB-or-NoSQL-in-general,MongoDB mistakes,Google Belgium,Q&A,Discussion,Data oriented instead of application oriented,1
S125,https://www.mongodb.com/community/forums/t/what-are-some-of-the-biggest-mistakes-people-make-in-aggregation-pipelines/11803,MongoDB mistakes,MongoDB Forum,Forum post,Discussion,"Too many aggregation stages, Map-reduce for projection, Testing only CRUD operations, Using $map, $reduce and $filter with array fields",4
S126,https://www.mongodb.com/blog/post/mongodb-security-part-ii-10-mistakes-that-can,MongoDB mistakes,MongoDB website,Blog post/Online article,Blog post/Online article,"No database access control, Unencrypted communication, Unencrypted data, No database user policy, Server without authentication, Too much network exposure",6
S127,https://www.mongodb.com/blog/post/the-mean-stack-mistakes-youre-probably-making,MongoDB mistakes,MongoDB website,Blog post/Online article,Blog post/Online article,"No dependency injector, Multiple schemas in a file",2
S130,https://stackoverflow.com/questions/71695407/how-to-add-allowdiskuse-true-in-spring-mongo-view-creation,MongoDB smells,Google Belgium,Blog post/Online article,Blog post/Online article,Separating data accessed together,1
S131,https://what-when-how.com/Tutorial/topic-3847gsu/The-Definitive-Guide-to-MongoDB-65.html,MongoDB smells,Google Belgium,Blog post/Online article,Blog post/Online article,No $elemMatch to match an entire array,1
S133,https://www.mongodb.com/developer/products/mongodb/3-things-to-know-switch-from-sql-mongodb/,MongoDB smells,Google Belgium,Blog post/Online article,Blog post/Online article,"Relying on transactions, Separating data accessed together",2
